month,patient_encounters,monitored_patients,avg_length_of_stay,expired_patients,vitals_events,high_heart_rate_events,low_heart_rate_events,low_spo2_events,blood_pressure_alerts,abnormal_vital_events,lab_results,unique_lab_tests,diagnosis_events,unique_diagnosis_codes,mortality_cases,clinical_workload_index
2024-01,439,434,5.22546697038724,4,4821,2503,38,1880,857,3156,2307,17,794,10,4,3635
2024-02,382,374,5.197958115183247,12,4436,2461,22,1879,855,2879,2198,17,731,10,10,3361
2024-03,463,447,4.816004319654431,10,5529,3008,26,2415,969,3663,2667,19,875,10,10,4226
2024-04,418,410,5.047822966507176,9,5053,2786,24,2181,819,3423,2407,19,779,10,10,3941
2024-05,425,418,5.488141176470589,7,5223,3004,28,2345,932,3587,2447,18,806,10,7,4082
2024-06,402,393,4.650646766169152,6,4829,2664,33,2061,878,3325,2363,19,767,10,5,3777
2024-07,464,449,5.091465517241381,3,5521,2933,48,2132,891,3590,2683,18,895,10,4,4094
2024-08,411,398,5.3232603406326096,7,4816,2617,22,1876,703,3109,2319,18,780,10,7,3590
2024-09,386,378,4.674922279792748,5,4312,2325,25,1673,636,2820,2206,18,702,10,5,3256
2024-10,409,399,5.158777506112466,7,4739,2476,26,1772,879,3082,2359,19,751,10,7,3561
2024-11,400,389,5.131074999999998,9,4830,2606,22,1902,689,3085,2350,19,765,10,9,3575
2024-12,412,403,5.7903883495145605,12,4953,2855,33,2200,993,3415,2282,19,779,10,10,3927
2025-01,423,411,5.042080378250594,10,5093,2767,34,2281,835,3381,2379,18,786,10,11,3914
2025-02,355,351,4.995464788732398,4,4150,2216,30,1696,680,2742,2062,18,691,10,5,3147
2025-03,429,420,4.674265734265732,8,4770,2583,53,1911,806,3229,2393,17,819,10,6,3718
2025-04,422,411,5.049289099526072,11,5022,2756,33,2297,804,3312,2438,18,836,10,10,3834
2025-05,407,398,5.340859950859952,11,5038,2847,24,2133,775,3388,2335,19,752,10,12,3915
2025-06,421,408,4.909168646080757,17,4958,2705,30,2056,762,3297,2421,19,837,10,16,3878
2025-07,439,433,4.899703872437362,3,5152,2857,31,2069,768,3317,2552,18,803,10,5,3806
2025-08,414,397,5.062004830917872,8,5128,2905,20,2154,652,3403,2301,19,783,10,8,3897
2025-09,411,402,4.842992700729929,6,4981,2742,20,2160,780,3319,2374,18,802,10,5,3780
2025-10,432,425,4.827129629629629,13,5240,2915,38,2092,752,3439,2429,19,818,10,14,4011
2025-11,392,386,5.17311224489796,9,4741,2682,27,2246,746,3329,2188,18,707,10,6,3781
2025-12,427,420,4.636159250585483,11,4915,2554,46,1897,745,3199,2335,14,825,10,13,3756
2026-01,0,0,0.0,0,475,240,0,152,93,292,263,10,70,10,2,312
