event_date,active_monitored_patients,monitoring_events,abnormal_vital_events,high_risk_patients,late_arriving_records,out_of_order_events
2024-02-01,10,10,0,0,0,0
2025-05-28,16,16,0,0,0,0
2025-05-22,13,13,0,0,0,0
2025-12-24,15,15,0,0,0,0
2025-11-23,11,11,0,0,0,0
2024-01-01,11,11,0,0,0,0
2024-01-02,10,10,0,0,0,0
2025-09-12,9,9,0,0,0,0
2024-01-05,14,14,0,0,0,0
2025-06-22,8,8,0,0,0,0
2025-01-26,17,17,0,0,0,0
2024-03-03,22,22,0,0,0,0
2025-11-01,15,15,0,0,0,0
2024-01-03,13,13,0,0,0,0
2024-03-02,16,16,0,0,0,0
2024-01-06,16,16,0,0,0,0
2024-04-26,13,13,0,0,0,0
2024-05-27,16,16,0,0,0,0
2024-07-14,13,13,0,0,0,0
2024-02-02,17,17,0,0,0,0
2024-01-08,10,10,0,0,0,0
2024-05-03,7,7,0,0,0,0
2024-01-09,12,12,0,0,0,0
2024-01-10,9,9,0,0,0,0
2024-01-04,22,22,0,0,0,0
2024-05-23,20,20,0,0,0,0
2024-01-11,9,9,0,0,0,0
2024-02-21,16,16,0,0,0,0
2024-05-13,11,11,0,0,0,0
2025-05-21,12,12,0,0,0,0
2024-01-12,14,14,0,0,0,0
2024-01-07,14,14,0,0,0,0
2025-03-31,17,17,0,0,0,0
2024-02-10,12,12,0,0,0,0
2025-07-18,15,15,0,0,0,0
2025-06-14,11,11,0,0,0,0
2024-01-14,16,16,0,0,0,0
2024-05-10,10,10,0,0,0,0
2024-01-22,17,17,0,0,0,0
2024-01-13,13,13,0,0,0,0
2025-05-10,15,15,0,0,0,0
2025-11-17,14,14,0,0,0,0
2024-01-31,9,9,0,0,0,0
2025-02-16,17,17,0,0,0,0
2024-01-15,14,14,0,0,0,0
2024-06-01,14,14,0,0,0,0
2024-06-11,10,10,0,0,0,0
2024-08-29,17,17,0,0,0,0
2024-02-23,12,12,0,0,0,0
2024-01-18,18,18,0,0,0,0
2024-03-10,19,19,0,0,0,0
2024-06-23,16,16,0,0,0,0
2024-01-19,17,17,0,0,0,0
2024-01-16,16,16,0,0,0,0
2025-04-20,18,18,0,0,0,0
2024-02-18,13,13,0,0,0,0
2024-02-25,9,9,0,0,0,0
2024-06-16,12,12,0,0,0,0
2024-10-09,9,9,0,0,0,0
2024-09-21,12,12,0,0,0,0
2025-02-10,15,15,0,0,0,0
2024-02-05,11,11,0,0,0,0
2024-09-08,11,11,0,0,0,0
2025-10-24,13,13,0,0,0,0
2024-01-17,17,17,0,0,0,0
2025-05-19,22,22,0,0,0,0
2024-01-20,11,11,0,0,0,0
2025-01-16,11,11,0,0,0,0
2024-01-24,11,11,0,0,0,0
2024-01-25,12,12,0,0,0,0
2024-01-28,13,13,0,0,0,0
2024-07-29,14,14,0,0,0,0
2024-01-21,24,24,0,0,0,0
2025-08-31,14,14,0,0,0,0
2024-01-29,17,17,0,0,0,0
2024-01-30,13,13,0,0,0,0
2025-02-12,13,13,0,0,0,0
2024-02-16,13,13,0,0,0,0
2025-03-14,11,11,0,0,0,0
2025-06-05,16,16,0,0,0,0
2024-01-26,14,14,0,0,0,0
