event_date,monitored_patients,avg_risk_score,high_risk_monitoring_load,high_risk_diagnoses,mortality_linked_cases
2024-01-12,14,10.0,0,0,0
2025-02-15,18,10.0,0,0,0
2025-08-26,11,10.0,0,0,0
2024-01-18,18,10.0,0,0,0
2025-07-22,13,10.0,0,0,0
2024-09-24,15,10.0,0,0,0
2025-04-12,18,10.0,0,0,0
2025-05-19,22,10.0,0,0,0
2025-08-19,15,10.0,0,0,0
2025-11-02,16,10.0,0,0,0
2025-12-27,12,10.0,0,0,0
2024-02-08,13,10.0,0,0,0
2025-07-08,13,10.0,0,0,0
2025-05-11,14,10.0,0,0,0
2025-06-27,12,10.0,0,0,0
2025-07-11,8,10.0,0,0,0
2025-10-26,17,10.0,0,0,0
2024-01-03,13,10.0,0,0,0
2024-01-25,12,10.0,0,0,0
2024-10-23,10,10.0,0,0,0
2024-04-05,10,10.0,0,0,0
2025-01-21,13,10.76923076923077,1,0,0
2025-03-15,19,10.0,0,0,0
2024-08-12,20,10.0,0,0,0
2025-10-08,12,10.0,0,0,0
2024-01-11,9,10.0,0,0,0
2025-03-24,10,10.0,0,0,0
2024-03-10,19,10.0,0,0,0
2025-09-05,12,10.0,0,0,0
2024-08-13,11,10.0,0,0,0
2024-11-30,11,10.0,0,0,0
2024-10-19,8,10.0,0,0,0
2024-11-12,14,10.0,0,0,0
2024-11-27,13,10.0,0,0,0
2025-02-07,14,10.0,0,0,0
2025-07-05,21,10.0,0,0,0
2025-03-10,21,10.0,0,0,0
2024-01-09,12,10.0,0,0,0
2024-06-14,15,10.0,0,0,0
2025-03-13,14,10.0,0,0,0
2025-07-09,13,10.0,0,0,0
2025-07-30,20,10.0,0,0,0
2025-08-30,16,10.0,0,0,0
2025-04-21,17,10.0,0,0,0
2024-05-23,20,10.0,0,0,0
2025-10-22,11,10.0,0,0,0
2025-12-02,14,10.0,0,0,0
2025-02-05,6,10.0,0,0,0
2025-02-27,10,10.0,0,0,0
2024-10-10,14,10.0,0,0,0
