row_index,column,error_type,message
70,diag_code,null_required,Required field 'diag_code' is null.
80,diag_code,null_required,Required field 'diag_code' is null.
113,diag_code,null_required,Required field 'diag_code' is null.
129,diag_code,null_required,Required field 'diag_code' is null.
131,diag_code,null_required,Required field 'diag_code' is null.
366,diag_code,null_required,Required field 'diag_code' is null.
369,diag_code,null_required,Required field 'diag_code' is null.
398,diag_code,null_required,Required field 'diag_code' is null.
404,diag_code,null_required,Required field 'diag_code' is null.
457,diag_code,null_required,Required field 'diag_code' is null.
491,diag_code,null_required,Required field 'diag_code' is null.
524,diag_code,null_required,Required field 'diag_code' is null.
531,diag_code,null_required,Required field 'diag_code' is null.
598,diag_code,null_required,Required field 'diag_code' is null.
656,diag_code,null_required,Required field 'diag_code' is null.
664,diag_code,null_required,Required field 'diag_code' is null.
695,diag_code,null_required,Required field 'diag_code' is null.
706,diag_code,null_required,Required field 'diag_code' is null.
742,diag_code,null_required,Required field 'diag_code' is null.
817,diag_code,null_required,Required field 'diag_code' is null.
828,diag_code,null_required,Required field 'diag_code' is null.
848,diag_code,null_required,Required field 'diag_code' is null.
878,diag_code,null_required,Required field 'diag_code' is null.
882,diag_code,null_required,Required field 'diag_code' is null.
948,diag_code,null_required,Required field 'diag_code' is null.
955,diag_code,null_required,Required field 'diag_code' is null.
958,diag_code,null_required,Required field 'diag_code' is null.
989,diag_code,null_required,Required field 'diag_code' is null.
1003,diag_code,null_required,Required field 'diag_code' is null.
1022,diag_code,null_required,Required field 'diag_code' is null.
1029,diag_code,null_required,Required field 'diag_code' is null.
1069,diag_code,null_required,Required field 'diag_code' is null.
1077,diag_code,null_required,Required field 'diag_code' is null.
1081,diag_code,null_required,Required field 'diag_code' is null.
1083,diag_code,null_required,Required field 'diag_code' is null.
1112,diag_code,null_required,Required field 'diag_code' is null.
1123,diag_code,null_required,Required field 'diag_code' is null.
1125,diag_code,null_required,Required field 'diag_code' is null.
1232,diag_code,null_required,Required field 'diag_code' is null.
1238,diag_code,null_required,Required field 'diag_code' is null.
1281,diag_code,null_required,Required field 'diag_code' is null.
1290,diag_code,null_required,Required field 'diag_code' is null.
1450,diag_code,null_required,Required field 'diag_code' is null.
1514,diag_code,null_required,Required field 'diag_code' is null.
1521,diag_code,null_required,Required field 'diag_code' is null.
1545,diag_code,null_required,Required field 'diag_code' is null.
1573,diag_code,null_required,Required field 'diag_code' is null.
1577,diag_code,null_required,Required field 'diag_code' is null.
1585,diag_code,null_required,Required field 'diag_code' is null.
1627,diag_code,null_required,Required field 'diag_code' is null.
1712,diag_code,null_required,Required field 'diag_code' is null.
1721,diag_code,null_required,Required field 'diag_code' is null.
1765,diag_code,null_required,Required field 'diag_code' is null.
1783,diag_code,null_required,Required field 'diag_code' is null.
1825,diag_code,null_required,Required field 'diag_code' is null.
1839,diag_code,null_required,Required field 'diag_code' is null.
1849,diag_code,null_required,Required field 'diag_code' is null.
1878,diag_code,null_required,Required field 'diag_code' is null.
1879,diag_code,null_required,Required field 'diag_code' is null.
1938,diag_code,null_required,Required field 'diag_code' is null.
1951,diag_code,null_required,Required field 'diag_code' is null.
1970,diag_code,null_required,Required field 'diag_code' is null.
1984,diag_code,null_required,Required field 'diag_code' is null.
2009,diag_code,null_required,Required field 'diag_code' is null.
2021,diag_code,null_required,Required field 'diag_code' is null.
2036,diag_code,null_required,Required field 'diag_code' is null.
2042,diag_code,null_required,Required field 'diag_code' is null.
2081,diag_code,null_required,Required field 'diag_code' is null.
2137,diag_code,null_required,Required field 'diag_code' is null.
2184,diag_code,null_required,Required field 'diag_code' is null.
2218,diag_code,null_required,Required field 'diag_code' is null.
2266,diag_code,null_required,Required field 'diag_code' is null.
2275,diag_code,null_required,Required field 'diag_code' is null.
2305,diag_code,null_required,Required field 'diag_code' is null.
2313,diag_code,null_required,Required field 'diag_code' is null.
2325,diag_code,null_required,Required field 'diag_code' is null.
2345,diag_code,null_required,Required field 'diag_code' is null.
2347,diag_code,null_required,Required field 'diag_code' is null.
2348,diag_code,null_required,Required field 'diag_code' is null.
2362,diag_code,null_required,Required field 'diag_code' is null.
2364,diag_code,null_required,Required field 'diag_code' is null.
2395,diag_code,null_required,Required field 'diag_code' is null.
2415,diag_code,null_required,Required field 'diag_code' is null.
2433,diag_code,null_required,Required field 'diag_code' is null.
2442,diag_code,null_required,Required field 'diag_code' is null.
2453,diag_code,null_required,Required field 'diag_code' is null.
2457,diag_code,null_required,Required field 'diag_code' is null.
2476,diag_code,null_required,Required field 'diag_code' is null.
2504,diag_code,null_required,Required field 'diag_code' is null.
2545,diag_code,null_required,Required field 'diag_code' is null.
2622,diag_code,null_required,Required field 'diag_code' is null.
2671,diag_code,null_required,Required field 'diag_code' is null.
2673,diag_code,null_required,Required field 'diag_code' is null.
2710,diag_code,null_required,Required field 'diag_code' is null.
2731,diag_code,null_required,Required field 'diag_code' is null.
2817,diag_code,null_required,Required field 'diag_code' is null.
2843,diag_code,null_required,Required field 'diag_code' is null.
2871,diag_code,null_required,Required field 'diag_code' is null.
2939,diag_code,null_required,Required field 'diag_code' is null.
2946,diag_code,null_required,Required field 'diag_code' is null.
2959,diag_code,null_required,Required field 'diag_code' is null.
2962,diag_code,null_required,Required field 'diag_code' is null.
2964,diag_code,null_required,Required field 'diag_code' is null.
2970,diag_code,null_required,Required field 'diag_code' is null.
2984,diag_code,null_required,Required field 'diag_code' is null.
2985,diag_code,null_required,Required field 'diag_code' is null.
2990,diag_code,null_required,Required field 'diag_code' is null.
3035,diag_code,null_required,Required field 'diag_code' is null.
3037,diag_code,null_required,Required field 'diag_code' is null.
3048,diag_code,null_required,Required field 'diag_code' is null.
3056,diag_code,null_required,Required field 'diag_code' is null.
3064,diag_code,null_required,Required field 'diag_code' is null.
3095,diag_code,null_required,Required field 'diag_code' is null.
3123,diag_code,null_required,Required field 'diag_code' is null.
3129,diag_code,null_required,Required field 'diag_code' is null.
