row_index,column,error_type,message
472,admit_datetime,null_required,Required field 'admit_datetime' is null.
1106,admit_datetime,null_required,Required field 'admit_datetime' is null.
1360,admit_datetime,null_required,Required field 'admit_datetime' is null.
1822,admit_datetime,null_required,Required field 'admit_datetime' is null.
2350,admit_datetime,null_required,Required field 'admit_datetime' is null.
2406,admit_datetime,null_required,Required field 'admit_datetime' is null.
2505,admit_datetime,null_required,Required field 'admit_datetime' is null.
3840,admit_datetime,null_required,Required field 'admit_datetime' is null.
4418,admit_datetime,null_required,Required field 'admit_datetime' is null.
5700,admit_datetime,null_required,Required field 'admit_datetime' is null.
5824,admit_datetime,null_required,Required field 'admit_datetime' is null.
5885,admit_datetime,null_required,Required field 'admit_datetime' is null.
7543,admit_datetime,null_required,Required field 'admit_datetime' is null.
8110,admit_datetime,null_required,Required field 'admit_datetime' is null.
8792,admit_datetime,null_required,Required field 'admit_datetime' is null.
9659,admit_datetime,null_required,Required field 'admit_datetime' is null.
9942,admit_datetime,null_required,Required field 'admit_datetime' is null.
707,expired_flag,null_required,Required field 'expired_flag' is null.
731,expired_flag,null_required,Required field 'expired_flag' is null.
952,expired_flag,null_required,Required field 'expired_flag' is null.
2899,expired_flag,null_required,Required field 'expired_flag' is null.
4375,expired_flag,null_required,Required field 'expired_flag' is null.
4531,expired_flag,null_required,Required field 'expired_flag' is null.
4561,expired_flag,null_required,Required field 'expired_flag' is null.
5312,expired_flag,null_required,Required field 'expired_flag' is null.
5778,expired_flag,null_required,Required field 'expired_flag' is null.
5808,expired_flag,null_required,Required field 'expired_flag' is null.
5905,expired_flag,null_required,Required field 'expired_flag' is null.
6002,expired_flag,null_required,Required field 'expired_flag' is null.
7219,expired_flag,null_required,Required field 'expired_flag' is null.
8190,expired_flag,null_required,Required field 'expired_flag' is null.
8230,expired_flag,null_required,Required field 'expired_flag' is null.
8244,expired_flag,null_required,Required field 'expired_flag' is null.
8616,expired_flag,null_required,Required field 'expired_flag' is null.
8799,expired_flag,null_required,Required field 'expired_flag' is null.
8901,expired_flag,null_required,Required field 'expired_flag' is null.
9183,expired_flag,null_required,Required field 'expired_flag' is null.
