job_id,source_id,dataset_id,execution_mode,records_ingested,records_failed,ingestion_latency_seconds,processing_lag_seconds,throughput_rps,file_count_per_partition,snapshot_count,compaction_lag_seconds,started_at,ended_at,telemetry_file
job_initial_load_diagnosis,diagnosis_events,diagnosis_dataset,BATCH,18310,686,40239627.256682836,7019388.100126,2953.875044365187,,,,2026-04-12T01:08:45.331901+00:00,2026-04-12T01:08:51.530548+00:00,/opt/project/data/telemetry/job_initial_load_diagnosis_telemetry.json
job_initial_load_encounter,encounter_master,encounter_dataset,BATCH,9963,37,39947616.66672441,6402371.650101,2571.4607596527617,,,,2026-04-12T01:08:41.435335+00:00,2026-04-12T01:08:45.309792+00:00,/opt/project/data/telemetry/job_initial_load_encounter_telemetry.json
job_initial_load_labs,lab_results,lab_results_dataset,BATCH,55962,1208,40323047.37694588,6537262.051275,1186.8503134949233,,,,2026-04-12T01:08:51.562523+00:00,2026-04-12T01:09:38.747525+00:00,/opt/project/data/telemetry/job_initial_load_labs_telemetry.json
job_initial_load_mortality,mortality_registry,mortality_dataset,BATCH,187,15,37688170.15349614,7755878.357592,3445.3588381284517,,,,2026-04-12T01:09:38.841868+00:00,2026-04-12T01:09:38.896156+00:00,/opt/project/data/telemetry/job_initial_load_mortality_telemetry.json
job_stream_vitals_burst,simulated_vitals_stream,vitals_stream_dataset,STREAMING,4979,21,39849996.406524755,7930508.286273,882.774583031688,,,,2026-04-12T01:10:16.646938+00:00,2026-04-12T01:10:22.287092+00:00,/opt/project/data/telemetry/job_stream_vitals_burst_telemetry.json
job_stream_vitals_steady,simulated_vitals_stream,vitals_stream_dataset,STREAMING,299,1,40707504.60847965,8820178.046191,8.727405132744675,,,,2026-04-12T01:09:41.864504+00:00,2026-04-12T01:10:16.146621+00:00,/opt/project/data/telemetry/job_stream_vitals_steady_telemetry.json
job_log_cdc,simulated_vitals_stream,vitals_stream_dataset,CDC_CONTINUOUS,4497,21,0.0,0.0,974.3425118854753,,,,2026-04-11T23:27:38.686265+00:00,2026-04-11T23:27:43.301686+00:00,/opt/project/data/telemetry/log_cdc_burst_telemetry.json
job_log_cdc,simulated_vitals_stream,vitals_stream_dataset,CDC_CONTINUOUS,275,1,0.0,0.0,896.8999543479324,,,,2026-04-11T23:27:23.401491+00:00,2026-04-11T23:27:23.708106+00:00,/opt/project/data/telemetry/log_cdc_steady_telemetry.json
job_timestamp_cdc_vitals,simulated_vitals_stream,vitals_stream_dataset,CDC_CONTINUOUS,4979,21,39843828.63744157,7924341.575583,1364.7347575816118,,,,2026-04-11T23:27:28.927963+00:00,2026-04-11T23:27:32.576300+00:00,/opt/project/data/telemetry/timestamp_cdc_burst_telemetry.json
job_timestamp_cdc_vitals,simulated_vitals_stream,vitals_stream_dataset,CDC_CONTINUOUS,299,1,40701348.60280496,8814004.975661,1340.7352441368528,,,,2026-04-11T23:27:22.753212+00:00,2026-04-11T23:27:22.976234+00:00,/opt/project/data/telemetry/timestamp_cdc_steady_telemetry.json
job_trigger_cdc,simulated_vitals_stream,vitals_stream_dataset,CDC_CONTINUOUS,4480,16,0.0,0.0,17584.31383122603,,,,2026-04-11T23:27:37.777145+00:00,2026-04-11T23:27:38.031916+00:00,/opt/project/data/telemetry/trigger_cdc_burst_telemetry.json
job_trigger_cdc,simulated_vitals_stream,vitals_stream_dataset,CDC_CONTINUOUS,277,1,0.0,0.0,17466.949314296315,,,,2026-04-11T23:27:23.343534+00:00,2026-04-11T23:27:23.359396+00:00,/opt/project/data/telemetry/trigger_cdc_steady_telemetry.json
